GREP_DATE,STATE,ACTIVE_CASES,CURED,DEATHS
Wed 21 Apr 2021,Andaman and Nicobar Islands,159,5243,64
Wed 21 Apr 2021,Andhra Pradesh,53889,915626,7472
Wed 21 Apr 2021,Arunachal Pradesh,222,16835,56
Wed 21 Apr 2021,Assam,9032,217296,1145
Wed 21 Apr 2021,Bihar,56355,283863,1841
Wed 21 Apr 2021,Chandigarh,3959,30768,421
Wed 21 Apr 2021,Chhattisgarh,125688,442337,6274
Wed 21 Apr 2021,Dadra and Nagar Haveli and Daman and Diu,1371,4047,4
Wed 21 Apr 2021,Delhi,85575,807328,12638
Wed 21 Apr 2021,Goa,8241,60145,926
Wed 21 Apr 2021,Gujarat,76500,346063,5615
Wed 21 Apr 2021,Haryana,49772,318369,3483
Wed 21 Apr 2021,Himachal Pradesh,10027,68164,1219
Wed 21 Apr 2021,Jammu and Kashmir,13470,134697,2071
Wed 21 Apr 2021,Jharkhand,33178,137590,1547
Wed 21 Apr 2021,Karnataka,159177,1025821,13646
Wed 21 Apr 2021,Kerala,118996,1148671,4978
Wed 21 Apr 2021,Ladakh,1812,10610,134
Wed 21 Apr 2021,Lakshadweep,517,817,1
Wed 21 Apr 2021,Madhya Pradesh,78271,350720,4713
Wed 21 Apr 2021,Maharashtra,685552,3213464,61343
Wed 21 Apr 2021,Manipur,385,29106,378
Wed 21 Apr 2021,Meghalaya,857,14105,154
Wed 21 Apr 2021,Mizoram,504,4569,12
Wed 21 Apr 2021,Nagaland,257,12299,94
Wed 21 Apr 2021,Odisha,26134,349377,1953
Wed 21 Apr 2021,Puducherry,5073,43184,717
Wed 21 Apr 2021,Punjab,36709,264562,8045
Wed 21 Apr 2021,Rajasthan,85571,349946,3268
Wed 21 Apr 2021,Sikkim,488,6172,136
Wed 21 Apr 2021,Tamil Nadu,79804,920369,13205
Wed 21 Apr 2021,Telengana,46488,319537,1876
Wed 21 Apr 2021,Tripura,561,33231,394
Wed 21 Apr 2021,Uttarakhand,21014,106272,1919
Wed 21 Apr 2021,Uttar Pradesh,223544,675702,10159
Wed 21 Apr 2021,West Bengal,58386,609134,10652
Thu 22 Apr 2021,Andaman and Nicobar Islands,150,5276,64
Thu 22 Apr 2021,Andhra Pradesh,60208,918985,7510
Thu 22 Apr 2021,Arunachal Pradesh,279,16851,56
Thu 22 Apr 2021,Assam,10395,217593,1150
Thu 22 Apr 2021,Bihar,63747,288637,1897
Thu 22 Apr 2021,Chandigarh,4125,31222,423
Thu 22 Apr 2021,Chhattisgarh,122751,459600,6467
Thu 22 Apr 2021,Dadra and Nagar Haveli and Daman and Diu,1518,4150,4
Thu 22 Apr 2021,Delhi,85364,831928,12887
Thu 22 Apr 2021,Goa,9300,60571,943
Thu 22 Apr 2021,Gujarat,84126,350865,5740
Thu 22 Apr 2021,Haryana,55422,322297,3528
Thu 22 Apr 2021,Himachal Pradesh,10793,69073,1236
Thu 22 Apr 2021,Jammu and Kashmir,14928,135430,2084
Thu 22 Apr 2021,Jharkhand,35826,139921,1609
Thu 22 Apr 2021,Karnataka,176207,1032233,13762
Thu 22 Apr 2021,Kerala,135957,1154102,5000
Thu 22 Apr 2021,Ladakh,1975,10630,134
Thu 22 Apr 2021,Lakshadweep,692,833,1
Thu 22 Apr 2021,Madhya Pradesh,82268,359755,4788
Thu 22 Apr 2021,Maharashtra,697467,3268449,61911
Thu 22 Apr 2021,Manipur,453,29128,380
Thu 22 Apr 2021,Meghalaya,1021,14130,157
Thu 22 Apr 2021,Mizoram,570,4576,12
Thu 22 Apr 2021,Nagaland,347,12306,94
Thu 22 Apr 2021,Odisha,28971,351386,1958
Thu 22 Apr 2021,Puducherry,5404,43467,722
Thu 22 Apr 2021,Punjab,38866,267289,8114
Thu 22 Apr 2021,Rajasthan,96366,353711,3330
Thu 22 Apr 2021,Sikkim,536,6174,136
Thu 22 Apr 2021,Tamil Nadu,84361,927440,13258
Thu 22 Apr 2021,Telengana,49781,321788,1899
Thu 22 Apr 2021,Tripura,600,33268,394
Thu 22 Apr 2021,Uttarakhand,24893,107166,1953
Thu 22 Apr 2021,Uttar Pradesh,242265,689900,10346
Thu 22 Apr 2021,West Bengal,63496,614750,10710
