     Year   ,Jan ,Feb ,Mar ,Apr ,May ,  Jun,Jul,Aug ,Sep ,Oct ,Nov ,Dec ,Annual 
1901,34.7,37.7,18.0,39.3,50.8,113.4,242.2,272.9,124.4,52.7,38.0,8.3,1032.3
1902,7.4,4.3,19.0,43.5,48.3,108.8,284.0,199.7,201.5,61.5,27.9,24.4,1030.2
1903,17.0,8.3,31.3,17.1,59.5,118.3,297.0,270.4,199.1,117.9,36.9,17.7,1190.5
1904,14.4,9.6,31.8,33.1,72.4,164.8,261.0,206.4,129.6,69.0,11.2,16.3,1019.8
1905,25.3,20.9,42.7,33.7,55.7,93.3,252.8,200.8,178.4,51.4,9.7,10.5,975.3
1906,21.2,50.8,31.7,16.1,36.7,177.1,285.4,251.1,182.7,49.6,17.8,23.9,1144.1
1907,16.2,46.0,37.8,62.8,32.6,154.4,225.4,310.4,96.9,22.7,22.5,12.1,1039.7
1908,21.8,17.8,8.7,33.3,45.4,126.4,327.2,312.8,150.5,37.5,6.5,8.7,1096.6
1909,23.3,17.9,7.2,63.0,52.1,208.2,309.4,235.0,163.6,38.3,9.8,30.2,1158.1
1910,15.6,11.1,13.8,29.2,41.5,213.5,250.3,289.8,186.8,107.4,35.0,6.4,1200.3
1901-10*,19.7,22.4,24.2,37.1,49.5,147.8,273.5,254.9,161.4,60.8,21.5,15.9,1088.7
1911,45.7,5.6,49.9,22.8,47.6,191.9,162.7,213.5,182.3,70.6,42.8,12.0,1047.5
1912,22.1,21.8,21.2,40.0,43.0,106.8,329.0,261.3,120.3,55.9,50.8,5.8,1078.1
1913,6.6,40.8,25.0,26.1,73.2,214.4,272.4,193.9,108.4,67.0,17.4,23.9,1068.9
1914,4.8,31.5,28.3,46.3,69.5,159.3,347.3,240.8,194.3,48.5,21.1,22.5,1214.3
1915,19.4,41.6,46.2,36.4,62.7,155.9,230.0,230.1,172.0,90.3,44.1,8.5,1137.2
1916,5.1,22.7,12.3,36.1,59.5,235.2,267.1,310.5,201.6,138.2,45.6,3.1,1337.1
1917,8.7,38.7,22.8,43.2,75.0,231.8,285.2,296.5,281.0,158.8,28.2,10.3,1480.3
1918,12.2,4.4,41.6,38.8,102.8,212.6,183.8,242.7,109.7,20.0,41.1,16.4,1026.2
1919,52.5,22.7,20.3,33.5,60.5,195.2,309.3,289.5,163.6,92.5,49.8,19.5,1308.9
1920,25.1,23.9,58.2,38.8,53.9,163.9,297.5,191.7,123.0,44.1,24.5,3.3,1047.9
1911-20*,20.2,25.4,32.6,36.2,64.8,186.7,268.4,247.1,165.6,78.6,36.5,12.5,1174.6
1921,40.6,8.8,18.6,43.5,49.4,193.9,297.5,278.5,206.6,71.1,14.5,17.2,1240.2
1922,29.7,10.3,14.6,31.5,49.0,202.7,317.8,222.7,202.7,61.0,55.5,14.5,1211.9
1923,24.5,41.5,22.7,32.1,60.7,102.7,339.5,277.0,178.7,60.9,19.4,16.6,1176.3
1924,23.1,25.5,14.3,31.7,64.4,135.5,328.0,263.1,242.5,66.2,57.9,16.1,1268.3
1925,14.2,12.5,15.8,44.0,104.1,209.2,306.8,238.9,141.7,68.8,39.9,14.4,1210.4
