Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total Votes
1,MANJESHWAR,P B ABDUL RAZAK,M,60,GEN,IUML,56828,42,56870,208165,158884
1,MANJESHWAR,K SURENDRAN,M,46,GEN,BJP,56591,190,56781,208165,158884
1,MANJESHWAR,ADV. C.H.KUNHAMBU,M,56,GEN,CPM,42497,68,42565,208165,158884
1,MANJESHWAR,BASHEER AHAMMAD S M,M,36,GEN,PDP,759,0,759,208165,158884
1,MANJESHWAR,None of the Above,,,,NOTA,645,1,646,208165,158884
1,MANJESHWAR,SUNDARA K,M,47,SC,IND,467,0,467,208165,158884
1,MANJESHWAR,RAVICHANDRA,M,38,SC,BSP,365,0,365,208165,158884
1,MANJESHWAR,K P MUNEER,M,45,GEN,IND,224,0,224,208165,158884
1,MANJESHWAR,JOHN D SOUZA,M,53,GEN,IND,207,0,207,208165,158884
2,KASARAGOD,N A NELLIKKUNNU,M,62,GEN,IUML,64623,104,64727,188906,144749
2,KASARAGOD,RAVISHA THANTRI KUNTAR,M,48,GEN,BJP,55830,290,56120,188906,144749
2,KASARAGOD,DR. A A AMEEN,M,61,GEN,INL,21505,110,21615,188906,144749
2,KASARAGOD,None of the Above,,,,NOTA,653,8,661,188906,144749
2,KASARAGOD,VIJAYAKUMAR B,M,43,SC,BSP,582,3,585,188906,144749
2,KASARAGOD,ROSHAN KUMAR,M,32,GEN,IND,508,0,508,188906,144749
2,KASARAGOD,A DAMODARAN,M,59,GEN,IND,283,0,283,188906,144749
2,KASARAGOD,MUNEER MUNAMBAM,M,33,GEN,IND,250,0,250,188906,144749
3,UDMA,K KUNHIRAMAN,M,68,GEN,CPM,70313,366,70679,199962,160870
3,UDMA,K SUDHAKARAN,M,67,GEN,INC,66615,232,66847,199962,160870
3,UDMA,ADV. K SHREEKANTH,M,40,GEN,BJP,21134,97,21231,199962,160870
3,UDMA,None of the Above,,,,NOTA,405,0,405,199962,160870
3,UDMA,GOPI KUTHIRAKALLU,M,35,ST,PDP,353,0,353,199962,160870
3,UDMA,DAMODARAN P,M,45,ST,IND,349,0,349,199962,160870
3,UDMA,MOHAMMED PAKYARA,M,30,GEN,SDPI,331,0,331,199962,160870
3,UDMA,SUDHAKARAN CHERUKANAM,M,47,GEN,IND,208,0,208,199962,160870
3,UDMA,GOVINDAN B ALINTHAZHE,M,42,ST,APOI,164,1,165,199962,160870
3,UDMA,ABBAS MOTHALAPPARA,M,59,GEN,IND,157,0,157,199962,160870
3,UDMA,K KUNHIRAMAN PERIYANGANAM,M,61,GEN,IND,145,0,145,199962,160870
4,KANHANGAD,E.CHANDRASHEKARAN,M,67,GEN,CPI,80118,440,80558,204931,161189
4,KANHANGAD,DHANYA SURESH,F,36,GEN,INC,54352,195,54547,204931,161189
4,KANHANGAD,M P RAGHAVAN,M,49,GEN,BDJS,21045,59,21104,204931,161189
4,KANHANGAD,CHANDRAN PARAPPA,M,38,ST,BSP,965,0,965,204931,161189
4,KANHANGAD,ASSAINAR MUTTUMTHALA,M,44,GEN,PDP,959,0,959,204931,161189
4,KANHANGAD,None of the Above,,,,NOTA,850,6,856,204931,161189
4,KANHANGAD,SAJEEVAN R,M,33,ST,IND,663,0,663,204931,161189
4,KANHANGAD,MUHAMMED ALI V V,M,37,GEN,IND,420,0,420,204931,161189
4,KANHANGAD,KOOKKAL BALAKRISHNAN,M,52,GEN,IND,293,1,294,204931,161189
4,KANHANGAD,RAGHAVAN B POODAMKALLU,M,36,ST,APOI,271,1,272,204931,161189
4,KANHANGAD,BALACHANDRAN KARIMBIL,M,54,GEN,SHS,258,2,260,204931,161189
4,KANHANGAD,K U KRISHNAKUMAR,M,40,GEN,IND,186,0,186,204931,161189
4,KANHANGAD,M DAMODARAN,M,69,ST,IND,105,0,105,204931,161189
5,TRIKARIPUR,M.RAJAGOPALAN,M,55,GEN,CPM,78279,1007,79286,190119,155671
5,TRIKARIPUR,K P KUNHIKANNAN,M,67,GEN,INC,61931,396,62327,190119,155671
5,TRIKARIPUR,M.BHASKARAN,M,59,GEN,BJP,10707,60,10767,190119,155671
5,TRIKARIPUR,C.H.MUTHALIB,M,54,GEN,WPOI,1029,0,1029,190119,155671
5,TRIKARIPUR,M V SHAUKATHALI,M,43,GEN,SDPI,840,0,840,190119,155671
5,TRIKARIPUR,None of the Above,,,,NOTA,772,2,774,190119,155671
5,TRIKARIPUR,P P PURUSHOTHAMAN,M,50,GEN,IND,262,1,263,190119,155671
5,TRIKARIPUR,K.P. KUNHIKANNAN KANDOTHUMPURATH,M,69,GEN,IND,183,0,183,190119,155671
