State,RuralMale,RuralFemale,RuralTotalPerson,UrbanMale,UrbanFemale,UrbanTotalPerson,TotalMale,TotalFemale,TotalPerson
India,5576518,5154745,10736422,6534752,5996325,12532961,12111270,11151070,23269383
Andhra Pradesh,141168,125678,266846,256731,237139,493870,397899,362817,760716
Arunachal Pradesh,19170,20786,39956,17790,19503,37293,36960,40289,77249
Assam,296652,268548,565200,105876,96780,202656,402528,365328,767856
Bihar,759510,713108,1472618,396990,371481,768471,1156500,1084589,2241089
Chhattisgarh,160334,152336,317710,130170,120531,252346,290504,272867,570056
Goa,3104,2893,5999,7415,7022,14437,10519,9915,20436
Gujarat,183630,167915,351545,432422,384549,816971,616052,552464,1168516
Haryana,84851,76422,161273,199641,180491,380132,284492,256913,541405
Himachal Pradesh,20713,19172,39905,29609,27508,57126,50322,46680,97031
Jammu & Kashmir,49771,48120,97891,28903,26796,55699,78674,74916,153590
Jharkhand,233600,206769,440369,124464,104933,229397,358064,311702,669766
Karnataka,92461,87935,180396,438498,410040,848538,530959,497975,1028934
Kerala,72013,69651,141673,176665,169823,346501,248678,239474,488174
Madhya Pradesh,251926,225904,477830,530170,478794,1008964,782096,704698,1486794
Maharashtra,205521,185373,390934,699205,643320,1342567,904726,828693,1733501
Manipur,19277,13500,32777,19851,16105,35956,39128,29605,68733
Meghalaya,31450,31472,62922,12520,11557,24077,43970,43029,86999
Mizoram,4283,4161,8444,6402,6138,12540,10685,10299,20984
Nagaland,17614,17347,34961,6143,6253,12396,23757,23600,47357
Odisha,155040,141190,296230,198994,181318,380312,354034,322508,676542
Punjab,35174,31587,66761,177897,158542,336439,213071,190129,403200
Rajasthan,404339,356754,761129,512432,469537,982021,916771,826291,1743150
Sikkim,519,524,1043,3095,2897,5992,3614,3421,7035
Tamil Nadu,105877,95356,201233,368327,345846,714173,474204,441202,915406
Telangana,127221,117139,244360,212130,196301,408431,339351,313440,652791
Tripura,23654,21440,45099,14690,13783,28476,38344,35223,73575
Uttarakhand,44627,42916,87543,60001,56278,116279,104628,99194,203822
Uttar Pradesh,1634418,1519439,3153857,776223,704004,1480227,2410641,2223443,4634084
West Bengal,381303,375309,756612,371588,345714,717302,752891,721023,1473914
A & N Islands,624,618,1242,1759,1652,3411,2383,2270,4653
Chandigarh,10,14,24,16925,15412,32349,16935,15426,32373
D & N Haveli,1483,1388,2871,3410,3138,6549,4893,4526,9420
Daman & Diu,1508,1406,2915,628,503,1131,2136,1909,4046
Delhi,11629,10619,22254,176865,163577,340549,188494,174196,362803
Lakshadweep,446,374,820,-,-,-,446,374,820
Puducherry,1598,1582,3180,20323,19060,39383,21921,20642,42563
