States,RuralMale,RuralFemale,RuralTotalPerson,UrbanMale,UrbanFemale,UrbanTotalPerson,TotalMale,TotalFemale,TotalPerson
India,27479,21250,48748,71789,53553,125398,99268,74803,174146
States,,,,,,,,,
Andhra Pradesh,431,310,741,4087,2987,7074,4518,3297,7815
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,576,492,1068,1044,696,1740,1620,1188,2808
Bihar,734,572,1306,909,575,1484,1643,1147,2790
Chhattisgarh,1107,1062,2183,2868,2111,4999,3975,3173,7182
Goa,87,62,150,18,24,42,105,86,192
Gujarat,2985,2103,5088,5451,3789,9240,8436,5892,14328
Haryana,1173,1088,2261,2084,1523,3607,3257,2611,5868
Himachal Pradesh,249,216,465,164,121,286,413,337,751
Jammu & Kashmir,223,326,549,675,798,1473,898,1124,2022
Jharkhand,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Karnataka,1337,769,2106,4973,3653,8626,6310,4422,10732
Kerala,532,416,951,1026,797,1826,1558,1213,2777
Madhya Pradesh,797,774,1571,5215,3943,9158,6012,4717,10729
Maharashtra,1210,897,2107,9092,7296,16388,10302,8193,18495
Manipur,N.A.,N.A.,N.A.,10,11,21,10,11,21
Meghalaya,593,522,1115,447,359,806,1040,881,1921
Mizoram,47,42,89,123,92,215,170,134,304
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,2104,1815,3919,4605,3094,7699,6709,4909,11618
Punjab,341,328,669,1068,764,1832,1409,1092,2501
Rajasthan,471,455,926,5639,4241,9889,6110,4696,10815
Sikkim,4,10,14,61,53,114,65,63,128
Tamil Nadu,732,494,1226,5031,3728,8759,5763,4222,9985
Telangana,1441,1265,2706,3256,2886,6142,4697,4151,8848
Tripura,93,71,164,348,226,575,441,297,739
Uttarakhand,627,438,1065,458,288,746,1085,726,1811
Uttar Pradesh,4390,3830,8220,2271,1821,4092,6661,5651,12312
West Bengal,4138,2362,6500,4593,3628,8221,8731,5990,14721
A & N Islands,13,12,25,34,21,55,47,33,80
Chandigarh,0,0,0,1638,936,2584,1638,936,2584
D & N Haveli,4,2,6,79,78,157,83,80,163
Daman & Diu,20,12,33,1,0,1,21,12,34
Delhi,999,495,1494,4286,2847,7145,5285,3342,8639
Lakshadweep,5,2,7,-,-,-,5,2,7
Puducherry,16,8,24,235,167,402,251,175,426
