Year,Births,Deaths
1987,10273688,2951430
1988,10895747,3210942
1989,11074930,3149312
1990,11601446,3144023
1991,11910093,3420669
1992,12324796,3576449
1993,12519182,3704881
1994,12788061,3676353
1995,13725993,3784469
1996,11671143,3445395
1997,11745719,3231333
1998,11893946,3711612
1999,12287748,3623079
2000,12946823,3789466
2001,12993577,3961767
2002,15645632,4436100
2003,15290261,4569026
2004,15777612,4487886
2005,16394625,4602727
2006,18121295,5298279
2007,19469756,5804922
2008,19993799,5638131
2009,21292574,5677705
2010,21430434,5690549
2011,21836920,5735082
2012,21951519,5850176
2013,22482951,6086616
2014,23001523,6138182
2015,23136145,6267685
2016,22200991,6349259
2017,22104418,6463779
2018,23269383,6950607
