States,RuralMale,RuralFemale,RuralPerson,UrbanMale,UrbanFemale,UrbanPerson,TotalMale,TotalFemale,TotalPerson
India,33266,28251,61544,52586,45288,97939,88237,75608,163937
Andhra Pradesh,50,43,93,178,170,348,228,213,441
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,1152,1188,2340,2052,1236,3288,3204,2424,5628
Bihar,4021,3406,7427,1032,864,1896,5053,4270,9323
Chhattisgarh,1502,1086,2603,1541,1284,2856,3043,2370,5459
Goa,63,47,112,18,18,36,81,65,148
Gujarat,786,594,1380,5245,4460,9705,6031,5054,11085
Haryana,366,330,696,1740,1400,3140,2106,1730,3836
Himachal Pradesh,9,7,16,26,34,60,35,41,76
Jammu & Kashmir,553,598,1151,1047,1100,2147,1600,1698,3298
Jharkhand,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2385,2069,4454
Karnataka,112,114,226,2178,1790,3968,2290,1904,4194
Kerala,351,295,655,839,703,1553,1190,998,2208
Madhya Pradesh,1672,1373,3045,3709,2974,6683,5381,4347,9728
Maharashtra,593,452,1045,5657,4652,10309,6250,5104,11354
Manipur,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Meghalaya,417,378,795,337,307,644,754,685,1439
Mizoram,14,11,25,6,9,15,20,20,40
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,1807,1579,3386,1696,1437,3133,3503,3016,6519
Punjab,298,243,541,1185,972,2157,1483,1215,2698
Rajasthan,3304,3450,6754,8886,9089,17975,12190,12539,24729
Sikkim,7,11,18,64,48,112,71,59,130
Tamil Nadu,515,364,879,2576,2073,4649,3091,2437,5528
Telangana,1482,1307,2789,1824,1466,3290,3306,2773,6079
Tripura,37,25,62,71,34,105,108,59,167
Uttarakhand,77,49,126,101,53,154,178,102,280
Uttar Pradesh,10522,9010,19532,4376,3874,8250,14898,12884,27782
West Bengal,3508,2246,5754,4095,3404,7499,7603,5650,13253
A & N Islands,6,11,17,18,21,39,24,32,56
Chandigarh,0,0,0,395,402,797,395,402,797
D & N Haveli,0,0,0,0,0,0,0,0,0
Daman & Diu,3,1,4,0,0,0,3,1,4
Delhi,19,19,39,1459,1247,2729,1478,1266,2768
Lakshadweep,4,6,10,-,-,-,4,6,10
Puducherry,16,8,24,235,167,402,251,175,426
