states,BirthRegisteredwithin21days,BirthRegistered,Percentage
Lakshadweep,816,820,99.5
Chandigarh,32007,32373,98.9
Gujarat,1145253,1168516,98
Tamil Nadu,897012,915406,98
Mizoram,20487,20984,97.6
D & N Haveli,9170,9420,97.3
Punjab,389075,403200,96.5
Himachal Pradesh,93270,97031,96.1
A & N Islands,4485,4690,95.6
Puducherry,40423,42563,95
Daman & Diu,3829,4046,94.6
Odisha,636707,676542,94.1
Goa,19435,21444,90.6
Andhra Pradesh,682821,760716,89.8
Delhi,362803,408725,88.8
Madhya Pradesh,1306434,1486794,87.9
Kerala,421619,488174,86.4
Tripura,57033,73575,77.5
Rajasthan,1347414,1743150,77.3
Meghalaya,63115,86999,72.5
Telangana,468713,652791,71.8
West Bengal,1046474,1473914,71
Chhattisgarh,402420,570056,70.6
Assam,513090,767856,66.8
Karnataka,676634,1028934,65.8
Manipur,46099,76327,60.4
Jammu & Kashmir,85425,153590,55.6
Arunachal Pradesh,2230,77249,2.9
Nagaland,670,47357,1.4
